id,name,price,shop_name
1,Apple,1.35,Shop_1
2,Banana,2.35,Shop_2
3,Carrot,1.35,Shop_1
4,Onion,3.35,Shop_2
5,Tomato,1.50,Shop_1
6,Potato,0.99,Shop_3
7,Orange,1.25,Shop_2
8,Grapes,2.75,Shop_1
9,Strawberry,3.50,Shop_3
10,Blueberry,4.00,Shop_2
11,Pineapple,3.25,Shop_1
12,Mango,2.99,Shop_3
13,Peach,2.50,Shop_2
14,Plum,1.75,Shop_1
15,Cherry,3.99,Shop_3
16,Watermelon,5.00,Shop_2
17,Lemon,0.89,Shop_1
18,Lime,0.79,Shop_3
19,Cucumber,1.10,Shop_2
20,Broccoli,1.85,Shop_1
21,Cauliflower,2.15,Shop_3
22,Spinach,1.50,Shop_2
23,Lettuce,1.25,Shop_1
24,Garlic,0.50,Shop_3
25,Ginger,0.75,Shop_2
26,Avocado,1.99,Shop_1
27,Papaya,3.49,Shop_3
28,Kiwi,2.25,Shop_2
29,Melon,3.75,Shop_1
30,Radish,0.95,Shop_3
